"dataset","source_id","file_name","source_url","expected_bytes","ancestry","genome_build","license","overlap_note","cohort_membership","known_overlap_datasets","replication_role","resolved_at_utc","checksum_algorithm","expected_checksum"
"cytokines_2025_meta","GCST90428421","GCST90428421.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428421/harmonised/GCST90428421.h.tsv.gz",281029418,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","c7e1d84d3c861b7727329156300b0fa5"
"cytokines_2025_meta","GCST90428422","GCST90428422.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428422/harmonised/GCST90428422.h.tsv.gz",281137764,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","e613df91de391870b9f74f788febe618"
"cytokines_2025_meta","GCST90428423","GCST90428423.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428423/harmonised/GCST90428423.h.tsv.gz",389530967,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","b419907b3668f30f62497e73b1a4ac03"
"cytokines_2025_meta","GCST90428424","GCST90428424.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428424/harmonised/GCST90428424.h.tsv.gz",400517403,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","c2c96b828f37dfe3d484d95961b08f29"
"cytokines_2025_meta","GCST90428425","GCST90428425.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428425/harmonised/GCST90428425.h.tsv.gz",227365797,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","16ea57ea0b396bc4e5ef1d9cf3d1f1f5"
"cytokines_2025_meta","GCST90428426","GCST90428426.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428426/harmonised/GCST90428426.h.tsv.gz",280077155,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","3d4c09d0efc5c358725dfaeb7461b298"
"cytokines_2025_meta","GCST90428427","GCST90428427.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428427/harmonised/GCST90428427.h.tsv.gz",281185236,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","c1aa653b18220e2576eab808655bdf75"
"cytokines_2025_meta","GCST90428428","GCST90428428.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428428/harmonised/GCST90428428.h.tsv.gz",398476479,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","938151600da1e72669423cb938c6c2a5"
"cytokines_2025_meta","GCST90428429","GCST90428429.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428429/harmonised/GCST90428429.h.tsv.gz",257838860,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","ffd0f5764f2b4e92ddd51c32b50d65b4"
"cytokines_2025_meta","GCST90428430","GCST90428430.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428430/harmonised/GCST90428430.h.tsv.gz",334142911,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","0cef2e82796cdf8ee79ef1fc51abf2ab"
"cytokines_2025_meta","GCST90428431","GCST90428431.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428431/harmonised/GCST90428431.h.tsv.gz",279812823,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","71ad23c94be2dfa3c66097dfe8868828"
"cytokines_2025_meta","GCST90428432","GCST90428432.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428432/harmonised/GCST90428432.h.tsv.gz",399826086,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","291404b0411cf5553b974386a092b82c"
"cytokines_2025_meta","GCST90428433","GCST90428433.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428433/harmonised/GCST90428433.h.tsv.gz",281278215,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","eba02da4463d0665e978adc5c7324ace"
"cytokines_2025_meta","GCST90428434","GCST90428434.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428434/harmonised/GCST90428434.h.tsv.gz",291535301,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","da7d038d6bd3c948def46feff07300cc"
"cytokines_2025_meta","GCST90428435","GCST90428435.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428435/harmonised/GCST90428435.h.tsv.gz",279124847,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","beebc1c6081a804fa671dff319da0135"
"cytokines_2025_meta","GCST90428436","GCST90428436.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428436/harmonised/GCST90428436.h.tsv.gz",190546923,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","89435b947ffa2a36cf08d766de9d6455"
"cytokines_2025_meta","GCST90428437","GCST90428437.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428437/harmonised/GCST90428437.h.tsv.gz",384992349,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","5522f94aefe440c6176b301dcd2c07ae"
"cytokines_2025_meta","GCST90428438","GCST90428438.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428438/harmonised/GCST90428438.h.tsv.gz",314230677,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","a8257384bc257f40123088d4aae586bd"
"scallop_cvd1","ESM-1","ESM-1.txt.gz","https://zenodo.org/api/records/2615265/files/ESM-1.txt.gz/content",285109629,"EUR","GRCh37","CC BY 2.0","SCALLOP cohort overlap with HUNT and FinnGen remains possible/unresolved","SCALLOP_CVD_I_13_cohorts","","mechanistic_endothelial_mediator_screen","2026-07-20T17:28:01Z","md5","f6a6b9d76f1f562594da88d3a70a7cf1"
"scallop_cvd1","LOX-1","LOX-1.txt.gz","https://zenodo.org/api/records/2615265/files/LOX-1.txt.gz/content",364229233,"EUR","GRCh37","CC BY 2.0","SCALLOP cohort overlap with HUNT and FinnGen remains possible/unresolved","SCALLOP_CVD_I_13_cohorts","","mechanistic_endothelial_mediator_screen","2026-07-20T17:28:01Z","md5","cafd9afb64e4aa26a5a092c73ac92d92"
"scallop_cvd1","PECAM-1","PECAM-1.txt.gz","https://zenodo.org/api/records/2615265/files/PECAM-1.txt.gz/content",372287884,"EUR","GRCh37","CC BY 2.0","SCALLOP cohort overlap with HUNT and FinnGen remains possible/unresolved","SCALLOP_CVD_I_13_cohorts","","mechanistic_endothelial_mediator_screen","2026-07-20T17:28:01Z","md5","f2b9ebe6bb6fa845de9f2c662f167bd8"
"scallop_cvd1","SELE","SELE.txt.gz","https://zenodo.org/api/records/2615265/files/SELE.txt.gz/content",372104944,"EUR","GRCh37","CC BY 2.0","SCALLOP cohort overlap with HUNT and FinnGen remains possible/unresolved","SCALLOP_CVD_I_13_cohorts","","mechanistic_endothelial_mediator_screen","2026-07-20T17:28:01Z","md5","f60030ae775298574b5c9150ae1de04f"
"scallop_cvd1","TIE2","TIE2.txt.gz","https://zenodo.org/api/records/2615265/files/TIE2.txt.gz/content",364299601,"EUR","GRCh37","CC BY 2.0","SCALLOP cohort overlap with HUNT and FinnGen remains possible/unresolved","SCALLOP_CVD_I_13_cohorts","","mechanistic_endothelial_mediator_screen","2026-07-20T17:28:01Z","md5","69523df8b1e3cea24d2fe646760f2237"
"scallop_cvd1","TM","TM.txt.gz","https://zenodo.org/api/records/2615265/files/TM.txt.gz/content",364287686,"EUR","GRCh37","CC BY 2.0","SCALLOP cohort overlap with HUNT and FinnGen remains possible/unresolved","SCALLOP_CVD_I_13_cohorts","","mechanistic_endothelial_mediator_screen","2026-07-20T17:28:01Z","md5","6484ede487c54920696b9e06e6779624"
"scallop_cvd1","U-PAR","U-PAR.txt.gz","https://zenodo.org/api/records/2615265/files/U-PAR.txt.gz/content",372317652,"EUR","GRCh37","CC BY 2.0","SCALLOP cohort overlap with HUNT and FinnGen remains possible/unresolved","SCALLOP_CVD_I_13_cohorts","","mechanistic_endothelial_mediator_screen","2026-07-20T17:28:01Z","md5","72b7ed87b2f00c0919f5d2a9df16dd7d"
"scallop_cvd1","VEGF-A","VEGF-A.txt.gz","https://zenodo.org/api/records/2615265/files/VEGF-A.txt.gz/content",347803042,"EUR","GRCh37","CC BY 2.0","SCALLOP cohort overlap with HUNT and FinnGen remains possible/unresolved","SCALLOP_CVD_I_13_cohorts","","mechanistic_endothelial_mediator_screen","2026-07-20T17:28:01Z","md5","95ce3664e16a2157097c69d6e10104f9"
"scallop_cvd1","t-PA","t-PA.txt.gz","https://zenodo.org/api/records/2615265/files/t-PA.txt.gz/content",372266792,"EUR","GRCh37","CC BY 2.0","SCALLOP cohort overlap with HUNT and FinnGen remains possible/unresolved","SCALLOP_CVD_I_13_cohorts","","mechanistic_endothelial_mediator_screen","2026-07-20T17:28:01Z","md5","d699dc3feebcac58bbfa5f7d6748b42c"
