"direction","p","expected_p","observed_minus_log10_p","expected_minus_log10_p"
"forward",0.279253595874817,0.291284403669725,0.55400122588098,0.535682768312629
"forward",0.279253595874817,0.295871559633028,0.55400122588098,0.528896778969337
"forward",0.29454666306571,0.30045871559633,0.530845893044633,0.522215193612822
"forward",0.298110501791738,0.305045871559633,0.525622724437459,0.5156348483015
"forward",0.298935903042746,0.309633027522936,0.52442192183941,0.50915272077358
"forward",0.302519956615618,0.314220183486239,0.519245970558089,0.502765922112179
"forward",0.304809465671756,0.318807339449541,0.515971550373186,0.496471689014491
"forward",0.305371252799809,0.323394495412844,0.515171849198532,0.490267376613206
"forward",0.311662208490739,0.327981651376147,0.506315856173517,0.484150451803524
"forward",0.319155843114337,0.33256880733945,0.49599720008555,0.478118487033611
"forward",0.321174981260425,0.337155963302752,0.493258292545687,0.47216915452041
"forward",0.327217224004735,0.341743119266055,0.485163844079761,0.466300220856312
"forward",0.342162010719933,0.346330275229358,0.465768210606033,0.460509541975417
"forward",0.345570430935615,0.350917431192661,0.461463425426035,0.454795058450987
"forward",0.346659318286186,0.355504587155963,0.460097121367762,0.449154791098295
"forward",0.348848959530752,0.360091743119266,0.457362568000093,0.443586836859352
"forward",0.358601283148712,0.364678899082569,0.445388160776602,0.438089364948135
"forward",0.358601283148712,0.369266055045872,0.445388160776602,0.432660613236736
"forward",0.358601283148712,0.373853211009174,0.445388160776602,0.427298884864628
"forward",0.358601283148712,0.378440366972477,0.445388160776602,0.42200254505468
"forward",0.358601283148712,0.38302752293578,0.445388160776602,0.416770018121003
"forward",0.358601283148712,0.387614678899083,0.445388160776602,0.411599784654913
"forward",0.358601283148712,0.392201834862385,0.445388160776602,0.406490378876432
"forward",0.367765948465325,0.396788990825688,0.434428484663518,0.401440386139791
"forward",0.379034425539346,0.401376146788991,0.421321343744843,0.396448440582292
"forward",0.379034425539346,0.405963302752294,0.421321343744843,0.391513222906779
"forward",0.388128653299061,0.410550458715596,0.41102429462065,0.386633458288693
"forward",0.396785313745336,0.415137614678899,0.401444410805653,0.381807914399402
"forward",0.400907448653582,0.419724770642202,0.396955874707082,0.377035399538157
"forward",0.405388309407031,0.424311926605505,0.392128779651948,0.372314760865572
"forward",0.413300792190866,0.428899082568807,0.383733762287147,0.367644882732087
"forward",0.413300792190866,0.43348623853211,0.383733762287147,0.363024685095342
"forward",0.42807092015255,0.438073394495413,0.368484273792036,0.358453122020859
"forward",0.443404946049579,0.442660550458716,0.353199466769436,0.353929180260812
"forward",0.453483714064638,0.447247706422018,0.343438305117366,0.349451877906068
"forward",0.458690847915859,0.451834862385321,0.338479925094294,0.345020263106993
"forward",0.464569931424853,0.456422018348624,0.332948902669351,0.340633412858879
"forward",0.478700409471685,0.461009174311927,0.319936201030236,0.336290431848097
"forward",0.480239655581467,0.465596330275229,0.31854198111962,0.331990451355373
"forward",0.486378406716285,0.470183486238532,0.313025714270129,0.327732628212832
"forward",0.490178462194678,0.474770642201835,0.309645775000498,0.323516143811668
"forward",0.499775428260856,0.479357798165138,0.301225100016389,0.319340203157532
"forward",0.499775428260856,0.48394495412844,0.301225100016389,0.315204033970893
"forward",0.50945534575038,0.488532110091743,0.292893876317202,0.311106885829848
"forward",0.515062462221516,0.493119266055046,0.288140100370063,0.307048029352981
"forward",0.541528579195427,0.497706422018349,0.266378618522781,0.303026755420057
"forward",0.541685218669883,0.502293577981651,0.266253015137719,0.299042374428468
"forward",0.544343850777447,0.506880733944954,0.264126678757369,0.295094215583475
"forward",0.557414970686148,0.511467889908257,0.253821371469369,0.291181626220425
"forward",0.561889030628358,0.51605504587156,0.250349446253695,0.287303971157224
"forward",0.570508307302005,0.520642201834862,0.243738027338399,0.283460632075463
"forward",0.574761976884856,0.525229357798165,0.240511970139921,0.279651006928698
"forward",0.585477353410414,0.529816513761468,0.232489899018784,0.275874509376442
"forward",0.589605844074519,0.534403669724771,0.229438220473399,0.272130568242567
"forward",0.604085626705598,0.538990825688074,0.218901497521166,0.26841862699685
"forward",0.611791377565657,0.543577981651376,0.213396648145789,0.264738143258482
"forward",0.612894308543243,0.548165137614679,0.212614411572903,0.261088588320448
"forward",0.612894308543243,0.552752293577982,0.212614411572903,0.257469446693718
"forward",0.612894308543243,0.557339449541284,0.212614411572903,0.253880215670274
"forward",0.612894308543243,0.561926605504587,0.212614411572903,0.250320404904054
"forward",0.612894308543243,0.56651376146789,0.212614411572903,0.24678953600892
"forward",0.613116853675178,0.571100917431193,0.21245674559593,0.24328714217285
"forward",0.618231299473913,0.575688073394495,0.208849011494152,0.239812767787548
"forward",0.618231299473913,0.580275229357798,0.208849011494152,0.236365968092768
"forward",0.618231299473913,0.584862385321101,0.208849011494152,0.232946308834631
"forward",0.618231299473913,0.589449541284404,0.208849011494152,0.229553365937292
"forward",0.618231299473913,0.594036697247707,0.208849011494152,0.226186725187334
"forward",0.618231299473913,0.598623853211009,0.208849011494152,0.222845981930305
"forward",0.618231299473913,0.603211009174312,0.208849011494152,0.219530740778828
"forward",0.618231299473914,0.607798165137615,0.208849011494152,0.216240615331778
"forward",0.625672237306943,0.612385321100918,0.203653115362734,0.212975227904011
"forward",0.63538558099319,0.61697247706422,0.19696264497967,0.209734209266178
"forward",0.63538558099319,0.621559633027523,0.19696264497967,0.20651719839418
"forward",0.639382970719619,0.626146788990826,0.194238934878513,0.20332384222783
"forward",0.654154639199526,0.630733944954129,0.184319574286775,0.200153795438323
"forward",0.654506016642217,0.635321100917431,0.184086356779376,0.197006720204137
"forward",0.654647545352491,0.639908256880734,0.183992456201283,0.193882285994988
"forward",0.664174396876849,0.644495412844037,0.177717869944226,0.190780169363506
"forward",0.676188907803458,0.64908256880734,0.169931957674452,0.187700053744296
"forward",0.69405987499609,0.653669724770642,0.158603062313521,0.184641629260076
"forward",0.70572154979991,0.658256880733945,0.151366620816831,0.181604592534594
"forward",0.706258877827278,0.662844036697248,0.15103607996236,0.178588646512038
"forward",0.706258877827278,0.667431192660551,0.15103607996236,0.175593500282679
