"dataset","source_id","trait","ancestry","genome_build","tier","p_threshold","candidate_snps","strong_snps","mapped_snps","post_clump_snps","min_f","mean_f","exclusion_reason"
"microbiome_2026","GCST90670382","Gut microbiome species abundance (Acetatifactor sp900066565, GCA_003584705.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670382","Gut microbiome species abundance (Acetatifactor sp900066565, GCA_003584705.1)","EUR","GRCh37","exploratory",1e-05,33,33,33,13,19.536879135729,21.149691470053,""
"microbiome_2026","GCST90670383","Gut microbiome species abundance (Blautia A wexlerae, GCA_025148125.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670383","Gut microbiome species abundance (Blautia A wexlerae, GCA_025148125.1)","EUR","GRCh37","exploratory",1e-05,56,56,56,16,19.6158396823347,21.0312006428891,""
"microbiome_2026","GCST90670384","Gut microbiome species presence (Coprococcus eutactus A, GCF_001404675.1)","EUR","GRCh37","primary",5e-08,1,1,1,1,30.4032548421629,30.4032548421629,""
"microbiome_2026","GCST90670384","Gut microbiome species presence (Coprococcus eutactus A, GCF_001404675.1)","EUR","GRCh37","exploratory",1e-05,58,58,58,24,19.6269605191996,21.199786054194,""
"microbiome_2026","GCST90670385","Gut microbiome species presence (Bifidobacterium bifidum, GCF_001025135.1)","EUR","GRCh37","primary",5e-08,1,1,1,1,30.351001599192,30.351001599192,""
"microbiome_2026","GCST90670385","Gut microbiome species presence (Bifidobacterium bifidum, GCF_001025135.1)","EUR","GRCh37","exploratory",1e-05,88,88,88,16,19.5670814244065,21.8772652537718,""
"microbiome_2026","GCST90670386","Gut microbiome species presence (CAG-177 sp003514385, GCA_003514385.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670386","Gut microbiome species presence (CAG-177 sp003514385, GCA_003514385.1)","EUR","GRCh37","exploratory",1e-05,80,80,79,15,19.5568324312312,21.8181540901014,""
"microbiome_2026","GCST90670387","Gut microbiome species abundance (Ruminiclostridium E siraeum, GCA_025150425.1)","EUR","GRCh37","primary",5e-08,1,1,1,1,31.6306523816709,31.6306523816709,""
"microbiome_2026","GCST90670387","Gut microbiome species abundance (Ruminiclostridium E siraeum, GCA_025150425.1)","EUR","GRCh37","exploratory",1e-05,122,122,120,15,19.5560493827161,22.4144320442662,""
