"pair_id","nsnp","ivw_Q","ivw_Q_df","ivw_Q_p","egger_intercept","egger_intercept_se","egger_intercept_p","steiger_status","steiger_reason","presso_status","loo_status","singlesnp_status"
"reverse|GCST90671693",17,14.1825105299853,16,0.585119225461924,-0.00178958662932664,0.00593333993505137,0.767086474522547,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671694",17,17.2289611438764,16,0.370932837197697,0.00435908746505174,0.00633737172242411,0.50205328511562,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671695",17,16.8015062326064,16,0.398552615750281,-0.00405690651811669,0.00562225493195934,0.481650050448761,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671696",17,11.9932596072491,16,0.744443628445897,-0.00983686304877961,0.00563217273570679,0.101154477939407,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671697",17,32.6155388381383,16,0.00830663259704398,-0.00281067182522049,0.00812281123193413,0.73413164955708,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671698",17,12.7551110630896,16,0.690571855450421,0.000228347346490284,0.0053987798056657,0.966820532728945,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671699",15,11.6640805249567,14,0.63325957664716,0.00460715648541497,0.0154573768155665,0.770371048368052,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671700",15,12.1399577116298,14,0.595064078740572,-0.0298857121044755,0.0144620991154355,0.0593053043945481,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671701",15,19.8298282059844,14,0.135598494970596,0.0221591029357786,0.0185375901344404,0.253297111096092,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671702",15,16.4976787551106,14,0.283935159485068,-0.0163313972313952,0.0180948278631577,0.383185902097507,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
