source_id,nsnp,F_metric,F_value
GCST90671001,1,Minimum F,31.0041629672747
GCST90671012,1,Minimum F,45.6197213444413
GCST90671032,1,Minimum F,30.0460591836735
GCST90671051,1,Minimum F,31.0181608642241
GCST90671057,1,Minimum F,29.7630864197531
GCST90671072,2,Minimum F,35.6160027452887
GCST90671075,1,Minimum F,32.0764619513883
GCST90671089,1,Minimum F,43.094312554954
GCST90671093,1,Minimum F,30.1050128567866
GCST90671102,1,Minimum F,30.7951978012465
GCST90671111,1,Minimum F,37.9838853803375
GCST90671115,1,Minimum F,30.3354260795178
GCST90671122,1,Minimum F,34.6348155588021
GCST90671134,1,Minimum F,31.650192049609
GCST90671138,2,Minimum F,30.1904625369808
GCST90671139,2,Minimum F,30.8943162873363
GCST90671147,1,Minimum F,31.0408163265306
GCST90671159,1,Minimum F,37.0917663113388
GCST90671164,1,Minimum F,29.7383990488006
GCST90671172,1,Minimum F,31.2140831758034
GCST90671176,2,Minimum F,30.25
GCST90671181,1,Minimum F,29.8378794731189
GCST90671188,1,Minimum F,31.3836664352311
GCST90671189,1,Minimum F,33.1402483564646
GCST90671190,1,Minimum F,30.6260216597485
GCST90671193,1,Minimum F,34.591559575392
GCST90671209,1,Minimum F,30.0107810616245
GCST90671210,1,Minimum F,30.0632144014068
GCST90671214,1,Minimum F,30.25
GCST90671218,1,Minimum F,31.943624989082
GCST90671223,1,Minimum F,30.6476949922896
GCST90671235,1,Minimum F,30.5460227016801
GCST90671237,1,Minimum F,32.1363012345679
GCST90671245,1,Minimum F,31.5241165972635
GCST90671259,1,Minimum F,29.8923676748582
GCST90671277,1,Minimum F,30.8101732888785
GCST90671285,1,Minimum F,30.8224036126411
GCST90671292,1,Minimum F,30.7316179042086
GCST90671293,1,Minimum F,105.021504
GCST90671302,1,Minimum F,32.3634567901235
GCST90671312,1,Minimum F,29.845058031004
GCST90671314,1,Minimum F,30.5059571164298
GCST90671323,1,Minimum F,42.2796855778654
GCST90671324,1,Minimum F,32.439577100791
GCST90671336,1,Minimum F,38.142061042524
GCST90671353,1,Minimum F,32.694523962513
GCST90671359,1,Minimum F,29.9982324720142
GCST90671360,2,Minimum F,31.3917810975303
GCST90671365,1,Minimum F,30.4073469387755
GCST90671373,1,Minimum F,30.0466392318244
GCST90671377,1,Minimum F,36.7568781237985
GCST90671385,1,Minimum F,30.9949149408284
GCST90671389,1,Minimum F,30.25
GCST90671397,2,Minimum F,30.3943665923214
GCST90671414,2,Minimum F,30.9053635116598
GCST90671419,1,Minimum F,33.2746814404432
GCST90671426,1,Minimum F,34.3536506483297
GCST90671432,1,Minimum F,30.1535857186827
GCST90671434,1,Minimum F,30.5895889398263
GCST90671435,1,Minimum F,29.9886621315193
GCST90671449,1,Minimum F,37.019619140625
GCST90671450,1,Minimum F,31.1828252132144
GCST90671463,1,Minimum F,71.4588444444444
GCST90671465,1,Minimum F,36.6824492702029
GCST90671469,1,Minimum F,32.7508763477072
GCST90671470,1,Minimum F,35.2897831704924
GCST90671474,2,Minimum F,30.0212673611111
GCST90671483,1,Minimum F,29.9612188365651
GCST90671486,1,Minimum F,32.883056640625
GCST90671488,1,Minimum F,30.0974151234568
GCST90671490,1,Minimum F,31.4076776822092
GCST90671499,1,Minimum F,31.7315332278375
GCST90671500,1,Minimum F,30.096196
GCST90671503,1,Minimum F,35.2836
GCST90671519,1,Minimum F,31.0158839449447
GCST90671524,4,Minimum F,30.1714795918367
GCST90671536,1,Minimum F,32.4489124290225
GCST90671554,1,Minimum F,30.1408271567037
GCST90671561,1,Minimum F,29.8422921931562
GCST90671563,1,Minimum F,45.6197213444413
GCST90671570,1,Minimum F,31.7240544298458
GCST90671572,1,Minimum F,30.2182164455879
GCST90671581,1,Minimum F,31.7798575051322
GCST90671588,2,Minimum F,35.4278236758714
GCST90671595,2,Minimum F,29.7804081632653
GCST90671613,1,Minimum F,30.5507438016529
GCST90671614,1,Minimum F,41.8015110161782
GCST90671616,1,Minimum F,31.3770042019379
GCST90671653,1,Minimum F,104.203264
GCST90671656,1,Minimum F,30.767822265625
GCST90671664,1,Minimum F,30.1982979727008
GCST90671665,1,Minimum F,29.8633591555513
