rank,observed_p,primary_BH,estimable_only_BH
90,0.388128653299061,0.0195652173913044,0.0206422018348624
91,0.396785313745336,0.0197826086956522,0.0208715596330275
92,0.400907448653582,0.02,0.0211009174311927
93,0.405388309407031,0.0202173913043478,0.0213302752293578
94,0.413300792190866,0.0204347826086957,0.0215596330275229
95,0.413300792190866,0.0206521739130435,0.0217889908256881
96,0.42807092015255,0.0208695652173913,0.0220183486238532
97,0.443404946049579,0.0210869565217391,0.0222477064220184
98,0.453483714064638,0.021304347826087,0.0224770642201835
99,0.458690847915859,0.0215217391304348,0.0227064220183486
100,0.464569931424853,0.0217391304347826,0.0229357798165138
101,0.478700409471685,0.0219565217391304,0.0231651376146789
102,0.480239655581467,0.0221739130434783,0.023394495412844
103,0.486378406716285,0.0223913043478261,0.0236238532110092
104,0.490178462194678,0.0226086956521739,0.0238532110091743
105,0.499775428260856,0.0228260869565217,0.0240825688073395
106,0.499775428260856,0.0230434782608696,0.0243119266055046
107,0.50945534575038,0.0232608695652174,0.0245412844036697
108,0.515062462221516,0.0234782608695652,0.0247706422018349
109,0.541528579195427,0.023695652173913,0.025
110,0.541685218669883,0.0239130434782609,0.0252293577981651
111,0.544343850777447,0.0241304347826087,0.0254587155963303
112,0.557414970686148,0.0243478260869565,0.0256880733944954
113,0.561889030628358,0.0245652173913044,0.0259174311926606
114,0.570508307302005,0.0247826086956522,0.0261467889908257
115,0.574761976884856,0.025,0.0263761467889908
116,0.585477353410414,0.0252173913043478,0.026605504587156
117,0.589605844074519,0.0254347826086957,0.0268348623853211
118,0.604085626705598,0.0256521739130435,0.0270642201834862
119,0.611791377565657,0.0258695652173913,0.0272935779816514
120,0.612894308543243,0.0260869565217391,0.0275229357798165
121,0.612894308543243,0.026304347826087,0.0277522935779817
122,0.612894308543243,0.0265217391304348,0.0279816513761468
123,0.612894308543243,0.0267391304347826,0.0282110091743119
124,0.612894308543243,0.0269565217391304,0.0284403669724771
125,0.613116853675178,0.0271739130434783,0.0286697247706422
126,0.618231299473913,0.0273913043478261,0.0288990825688073
127,0.618231299473913,0.0276086956521739,0.0291284403669725
128,0.618231299473913,0.0278260869565217,0.0293577981651376
129,0.618231299473913,0.0280434782608696,0.0295871559633028
130,0.618231299473913,0.0282608695652174,0.0298165137614679
131,0.618231299473913,0.0284782608695652,0.030045871559633
132,0.618231299473913,0.028695652173913,0.0302752293577982
133,0.618231299473914,0.0289130434782609,0.0305045871559633
134,0.625672237306943,0.0291304347826087,0.0307339449541284
